Key,en,es,ar,fr,hi
expiration,Expiration,Vencimiento,انتهاء,Expiration,समय सीमा समाप्ति
city,City,Ciudad,مدينة,Ville,शहर
state,State,Estado,ولاية,État,राज्य
enter State,Enter State,Ingresar estado,أدخل الولاية,Entrez l'état,राज्य दर्ज करें
address,Address,DIRECCIÓN,عنوان,Adresse,पता
enter Address,Enter Address,Introduzca la dirección,أدخل العنوان,Entrez l'adresse,पता दर्ज करें
zip,Zip Code,Código postal,الرمز البريدي,Code postal,ज़िप कोड
block,Block,Bloquear,حاجز,Bloc,अवरोध पैदा करना
unblock,Unblock,Desatascar,إلغاء الحظر,Débloquer,अनब्लॉक
de Activated,Send Money,enviar dinero,إرسال الأموال,Envoyer de l'argent,पैसे भेजना
not Valid User,Not Valid User,Usuario no válido,مستخدم غير صالح,Utilisateur non valide,मान्य उपयोगकर्ता नहीं
pick Up Point,Pick Up Point,Punto de recogida,نقطة الالتقاط,Point de retrait,पिक अप बिंदु
create Card,Create Card,Crear tarjeta,إنشاء بطاقة,Créer une carte,कार्ड बनाएं
empty Status,No data found,No se encontraron datos,لم يتم العثور على بيانات,Aucune donnée trouvée,डाटा प्राप्त नहीं हुआ
sign In With Touch Id,Sign in with touch id,Iniciar sesión con Touch ID,قم بتسجيل الدخول باستخدام معرف اللمس,Connectez-vous avec Touch ID,टच आईडी से साइन इन करें
delete Account Sub Title,Do you want to delete your account?,¿Quieres eliminar tu cuenta?,هل تريد حذف حسابك؟,Voulez-vous supprimer votre compte ?,क्या आप अपना खाता हटाना चाहते हैं?
verify OTP,Verify OTP,Verificar OTP,التحقق من كلمة المرور لمرة واحدة (OTP).,Vérifier OTP,ओटीपी सत्यापित करें
fees And Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف,Frais et charges,फीस एवं शुल्क
received,Received,Recibió,تلقى,Reçu,प्राप्त
total Fee,Total Fee,Tarifa total,إجمالي الرسوم,Frais totaux,कुल शुल्क
log Message,Do You Want To Sign Out?,¿Quieres cerrar sesión?,هل تريد تسجيل الخروج؟,Voulez-vous vous déconnecter ?,क्या आप साइन आउट करना चाहते हैं?
make Default,Make Default,Establecer como predeterminado,جعل الافتراضي,Par défaut,डिफ़ॉल्ट बनाना
remove Default,Remove Default,Eliminar valor predeterminado,إزالة الافتراضي,Supprimer la valeur par défaut,डिफ़ॉल्ट हटाएँ
add Money Log,Add Money Log,Agregar registro de dinero,إضافة سجل الأموال,Ajouter un journal d'argent,मनी लॉग जोड़ें
withdraw Log,Withdraw Money Logs,Retirar registros de dinero,سحب سجلات الأموال,Retirer les journaux d'argent,मनी लॉग्स निकालें
transfer Money Log,Remittance Log,Registro de remesas,سجل التحويلات,Journal des remises,प्रेषण लॉग
merchant Payment Log,Merchant  Payment Log,Registro de pagos del comerciante,سجل دفع التاجر,Journal de paiement du commerçant,व्यापारी भुगतान लॉग
add Sub Balance Log,Add Sub balance Log,Agregar registro de saldo secundario,إضافة سجل الرصيد الفرعي,Ajouter un journal de sous-solde,उप शेष लॉग जोड़ें
transaction Id,Tnx,tnx,ثانكس,Transmission,टीएनएक्स
total Received,Total Received,Total recibido,إجمالي المستلمة,Total reçu,कुल प्राप्त
remark,Remark,Observación,ملاحظة,Remarque,टिप्पणी
time And Date,Time and Date,Hora y fecha,الوقت والتاريخ,Heure et date,समय और दिनांक
recipient Amount,Recipient Amount,Importe del destinatario,المبلغ المستلم,Montant du destinataire,प्राप्तकर्ता राशि
request Amount,Request Amount,Monto de la solicitud,مبلغ الطلب,Montant de la demande,अनुरोध राशि
fee And Charge,Fee & Charge,Tarifa y cargo,الرسوم والتكاليف,Frais et charges,शुल्क एवं प्रभार
top Up Type,Top Up Type,Tipo de recarga,نوع التعبئة,Type de recharge,टॉप अप प्रकार
card Amount,Card Amount,Monto de la tarjeta,مبلغ البطاقة,Montant de la carte,कार्ड राशि
card Masked,Card Masked,tarjeta enmascarada,بطاقة ملثمين,Carte masquée,कार्ड नकाबपोश
recipient Name,Recipient Name,Nombre del destinatario,اسم المستلم,Nom du destinataire,प्राप्तकर्ता का नाम
Change Language,Change Language,Cambiar idioma,تغيير اللغة,Changer de langue,भाषा बदलें
unsupported Country,Unsupported region / Permission Denied,Región no admitida/permiso denegado,منطقة غير مدعومة / تم رفض الإذن,Région non prise en charge/Autorisation refusée,असमर्थित क्षेत्र / अनुमति अस्वीकृत
already Have An Account,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب بالفعل؟,Vous avez déjà un compte ?,क्या आपके पास पहले से एक खाता मौजूद है?
enter The OTP Code Send To,Enter The OTP Code Sent to,Ingrese el código OTP enviado a,أدخل رمز OTP المرسل إليه,Entrez le code OTP envoyé à,भेजे गए ओटीपी कोड को दर्ज करें
enter The Google Auth OTP Code,Enter OTP Code From Google Authenticator,Ingrese el código OTP del Autenticador de Google,أدخل رمز OTP من Google Authenticator,Entrez le code OTP de Google Authenticator,Google प्रमाणक से ओटीपी कोड दर्ज करें
OTP Verification,OTP Verification,Verificación OTP,التحقق من OTP,Vérification OTP,ओटीपी सत्यापन
the Code Is Not Valid,The code is not valid,El código no es válido.,الرمز غير صالح,Le code n'est pas valide,कोड मान्य नहीं है
continue Label,Continue,Continuar,يكمل,Continuer,जारी रखना
kYC Form Details,Please input all the fild for sign in to your account to get access to your dashboard.,Ingrese todos los campos para iniciar sesión en su cuenta y obtener acceso a su panel de control.,يرجى إدخال كافة الحقول لتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir tous les champs pour vous connecter à votre compte afin d'accéder à votre tableau de bord.,कृपया अपने डैशबोर्ड तक पहुंच पाने के लिए अपने खाते में साइन इन करने के लिए सभी फ़ील्ड इनपुट करें।
enter Business Name,Enter Business Name,Ingrese el nombre comercial,أدخل اسم العمل,Entrez le nom de l'entreprise,व्यवसाय का नाम दर्ज करें
business Name,Business Name,Nombre comercial,اسم العمل,Nom de l'entreprise,व्यवसाय का नाम
sender,Sender,Remitente,مرسل,Expéditeur,प्रेषक
welcome Back To,Welcome Back to,Bienvenido de nuevo a,مرحبا بكم مرة أخرى في,Bienvenue à nouveau à,वापसी पर स्वागत है
send Money Successfully,Your money has been send successfully. Thanks for using ,Su dinero ha sido enviado exitosamente. Gracias por usar ,لقد تم إرسال أموالك بنجاح. شكرا للاستخدام ,Votre argent a été envoyé avec succès. Merci d'avoir utilisé ,आपका पैसा सफलतापूर्वक भेज दिया गया है. उपयोग करने के लिए धन्यवाद 
gateway Balance,Gateway Balance,Saldo de puerta de enlace,ميزان البوابة,Solde de la passerelle,गेटवे बैलेंस
received Balance,Received Balance,Saldo recibido,الرصيد المستلم,Solde reçu,शेष प्राप्त हुआ
your Money Withdraw Success,Your money has been withdraw Successfully. Thanks for using ,Su dinero ha sido retirado con éxito. Gracias por usar ,لقد تم سحب أموالك بنجاح. شكرا للاستخدام ,Votre argent a été retiré avec succès. Merci d'avoir utilisé ,आपका पैसा सफलतापूर्वक निकाल लिया गया है। उपयोग करने के लिए धन्यवाद 
back To Home,Back to Home,Volver a Inicio,العودة إلى المنزل,Retour à la maison,घर वापिस जा रहा हूँ
your Money Has Been Failed,Your money has been Failed..!! Try Again! Thanks for using,¡¡Tu dinero ha fallado..!! ¡Intentar otra vez! Gracias por usar,لقد فشلت أموالك..!! حاول ثانية! شكرا للاستخدام,Votre argent a échoué .. !! Essayer à nouveau! Merci d'avoir utilisé,आपका पैसा फेल हो गया..!! पुनः प्रयास करें! उपयोग करने के लिए धन्यवाद
electricity,Electricity,Electricidad,كهرباء,Électricité,बिजली
update KYC Form,Update KYC Form,Actualizar formulario KYC,تحديث نموذج KYC,Mettre à jour le formulaire KYC,केवाईसी फॉर्म अपडेट करें
fA Security,2FA Security,Seguridad 2FA,2FA الأمن,Sécurité 2FA,2एफए सुरक्षा
enable fA Security,Enable 2FA Security,Habilitar la seguridad 2FA,تمكين أمان 2FA,Activer la sécurité 2FA,2एफए सुरक्षा सक्षम करें
two Fa Security,2FA Security,Seguridad 2FA,2FA الأمن,Sécurité 2FA,2एफए सुरक्षा
two FA Details,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Le solicitaremos un código de verificación a través de su método de seguridad si detectamos un inicio de sesión desde un dispositivo o navegador no reconocido. Habilite su seguridad 2FA,سنطلب رمز التحقق عبر طريقة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير معروف. قم بتمكين أمان 2FA الخاص بك,Nous vous demanderons un code de vérification via votre méthode de sécurité si nous remarquons une connexion à partir d'un appareil ou d'un navigateur non reconnu. Activez votre sécurité 2FA,यदि हम किसी गैर-मान्यता प्राप्त डिवाइस या ब्राउज़र से लॉगिन देखते हैं तो हम आपकी सुरक्षा पद्धति के माध्यम से एक सत्यापन कोड मांगेंगे। अपनी 2FA सुरक्षा सक्षम करें
your Two Security HA s Been Active,Your 2FA Security has been activate Successfully.,Su seguridad 2FA se ha activado correctamente.,لقد تم تفعيل أمان المصادقة الثنائية (2FA) بنجاح.,Votre sécurité 2FA a été activée avec succès.,आपकी 2FA सुरक्षा सफलतापूर्वक सक्रिय हो गई है।
flutter Wave Payment,Flutterwave Payment,Pago de onda fluida,الدفع Flutterwave,Paiement Flutterwave,फ़्लटरवेव भुगतान
card Number,Card Number,Número de tarjeta,رقم البطاقة,Numéro de carte,कार्ड संख्या
total Withdraw Amount,Total Withdraw Amount,Monto total de retiro,إجمالي مبلغ السحب,Montant total du retrait,कुल निकासी राशि
api Key,API Key,Clave API,مفتاح واجهة برمجة التطبيقات,Clé API,एपीआई कुंजी
primary Key,Primary Key,Clave primaria,المفتاح الأساسي,Clé primaire,प्राथमिक कुंजी
secret Key,Secret Key,clave secreta,المفتاح السري,Clé secrète,गुप्त कुंजी
production Live,Go To Production Mode,Ir al modo de producción,انتقل إلى وضع الإنتاج,Passer en mode production,प्रोडक्शन मोड पर जाएं
production Sand Box,Go To SandBox Mode,Ir al modo SandBox,انتقل إلى وضع SandBox,Passer en mode SandBox,सैंडबॉक्स मोड पर जाएं
developer API,Developer API,API de desarrollador,واجهة برمجة تطبيقات المطور,API de développeur,डेवलपर एपीआई
sand Box,SandBox,Salvadera,SandBox,Bac à sable,सैंडबॉक्स
mode On,Mode On,Modo activado,الوضع قيد التشغيل,Mode activé,मोड ऑन है
mode Off,Mode Off,Modo desactivado,الوضع معطل,Mode désactivé,मोड बंद है
gateway Settings,Gateway Settings,Configuración de puerta de enlace,إعدادات البوابة,Paramètres de la passerelle,गेटवे सेटिंग्स
all Settings,All Settings,Todas las configuraciones,جميع الإعدادات,Tous les paramètres,सभी सेटिंग्स
wallet Balance,Wallet Balance,Saldo de billetera,رصيد المحفظة,Solde du portefeuille,वॉलेट बैलेंस
master Or Visa Card,Master / OR Visa Card,Tarjeta Master/O Visa,بطاقة ماستر / أو فيزا,Carte Master / OU Visa,मास्टर/ओआर वीज़ा कार्ड
enable Or Disable This Features,Enable Or Disable This Feature,Habilitar o deshabilitar esta función,تمكين أو تعطيل هذه الميزة,Activer ou désactiver cette fonctionnalité,इस सुविधा को सक्षम या अक्षम करें
production Mode Info,Do You want to change your api key?,¿Quieres cambiar tu clave API?,هل تريد تغيير مفتاح API الخاص بك؟,Voulez-vous changer votre clé API ?,क्या आप अपनी एपीआई कुंजी बदलना चाहते हैं?
copied To Clip Board,Copied to clipboard,Copiado al portapapeles,تم النسخ إلى الحافظة,Copié dans le presse-papiers,क्लिपबोर्ड पर कॉपी किया गया
received Payment Log,Received Payment Log,Registro de pagos recibidos,سجل الدفع المستلم,Journal des paiements reçus,भुगतान लॉग प्राप्त हुआ
type,Type,Tipo,يكتب,Taper,प्रकार
payment Amount,Payment Amount,Monto del pago,مبلغ الدفع,Montant du paiement,भुगतान राशि
changeThemes,Change Themes,Cambiar temas,تغيير المواضيع,Changer de thème,थीम्स बदलें
stripePayment,Stripe Payment,Pago de franjas,الدفع الشريطي,Paiement Stripe,धारी भुगतान
Create Link,Create Link,Crear enlace,إنشاء رابط,Créer un lien,लिंक बनाएं
Created At,Created At,Creado en,تم الإنشاء في,Créé à,पर बनाया गया
Customers Choose What To Pay,Customers Choose What To Pay,Los clientes eligen qué pagar,يختار العملاء ما يجب دفعه,Les clients choisissent quoi payer,ग्राहक चुनते हैं कि क्या भुगतान करना है
Payment Page,Payment Page,Página de pago,صفحة الدفع,Page de paiement,भुगतान पृष्ठ
Give customers more detail about what they're paying for.,Give customers more detail about what they're paying for.,Ofrezca a los clientes más detalles sobre lo que están pagando.,امنح العملاء مزيدًا من التفاصيل حول ما يدفعون مقابله.,Donnez aux clients plus de détails sur ce qu’ils paient.,ग्राहकों को इस बारे में अधिक विवरण दें कि वे किस चीज़ के लिए भुगतान कर रहे हैं।
Select One,Select One,Seleccione uno,حدد واحدًا,Sélectionnez-en un,एक का चयन करें
Set limits,Set limits,Establecer límites,ضع الحدود,Fixer des limites,जोड़े की सीमा
Unit Price,Unit Price,Precio unitario,سعر الوحدة,Prix ​​unitaire,यूनिट मूल्य
Name on card,Name on card,Nombre en la tarjeta,الاسم على البطاقة,Nom sur la carte,कार्ड पर नाम
Pay faster on,Pay faster on,Paga más rápido en,ادفع بشكل أسرع على,Payez plus vite sur,तेजी से भुगतान करें
Pay,Pay,Pagar,يدفع,Payer,वेतन
Pay With A Debit/Credit Card,Pay With A Debit/Credit Card,Pague con una tarjeta de débito/crédito,ادفع باستخدام بطاقة الخصم/الائتمان,Payer avec une carte de débit/crédit,डेबिट/क्रेडिट कार्ड से भुगतान करें
Go To Home,Go To Home,Ir a casa,اذهب إلى المنزل,Aller à la maison,घर जाओ
Payment Again,Payment Again,Pago nuevamente,الدفع مرة أخرى,Paiement à nouveau,पुनः भुगतान
visa,Visa,Visa,فيزا,Visa,वीज़ा
request Money,Request Money,Solicitar dinero,طلب المال,Demander de l'argent,पैसे का अनुरोध
request Money Log,Request Money Logs,Solicitar registros de dinero,طلب سجلات الأموال,Demander des journaux d'argent,मनी लॉग का अनुरोध करें
coin Gate Payment,Coingate Payment,Pago Coingate,الدفع كوينجيت,Paiement Coingate,कॉइनगेट भुगतान
no Record Found,noRecordFound,noRecordEncontrado,noRecordFound,aucunEnregistrementTrouvé,कोई रिकार्ड नहीं मिला
balance,Balance,Balance,توازن,Équilibre,संतुलन
fund Amount,Fund Amount,Monto del fondo,مبلغ الصندوق,Montant du fonds,निधि राशि
total Pay,Total Pay,Pago Total,إجمالي الأجر,Salaire total,कुल वेतन
card Information,Card Information,Información de la tarjeta,معلومات البطاقة,Informations sur la carte,कार्ड की जानकारी
reveal Details,Reveal Details,Revelar detalles,كشف التفاصيل,Révéler les détails,विवरण प्रकट करें
freeze Card,Freeze Card,Congelar tarjeta,بطاقة التجميد,Geler la carte,कार्ड फ़्रीज़ करें
currency,Currency,Divisa,عملة,Devise,मुद्रा
brand,Brand,Marca,ماركة,Marque,ब्रांड
availabe Blance,Available Balance,Saldo disponible,الرصيد المتاح,Solde disponible,उपलब्ध शेष राशि
payments,Payments,Pagos,المدفوعات,Paiements,भुगतान
update Link,Update Link,Enlace de actualización,تحديث الرابط,Lien de mise à jour,लिंक अपडेट करें
payments Log,Payments Log,Registro de pagos,سجل المدفوعات,Journal des paiements,भुगतान लॉग
payment Link Edit,Payment Link Edit,Enlace de pago Editar,تعديل رابط الدفع,Lien de paiement Modifier,भुगतान लिंक संपादित करें
closeS,Close,Cerca,يغلق,Fermer,बंद करना
editS,Edit,Editar,يحرر,Modifier,संपादन करना
unlimited,Unlimited,Ilimitado,غير محدود,Illimité,असीमित
select TypeS,Select Type,Seleccionar tipo,حدد النوع,Sélectionnez le type,प्रकार चुनें
customer Choose,Customers choose what to pay,Los clientes eligen qué pagar,يختار العملاء ما يجب دفعه,Les clients choisissent quoi payer,ग्राहक चुनते हैं कि क्या भुगतान करना है
products Or SubscriptionsS,Products or Subscriptions,Productos o Suscripciones,المنتجات أو الاشتراكات,Produits ou abonnements,उत्पाद या सदस्यताएँ
imageS,Image,Imagen,صورة,Image,छवि
name Of Cause Or ServiceS,Name Of Cause Or Service,Nombre de la causa o servicio,اسم السبب أو الخدمة,Nom de la cause ou du service,कारण या सेवा का नाम
titleS,Title,Título,عنوان,Titre,शीर्षक
descriptionS,Description,Descripción,وصف,Description,विवरण
description Hint,Give customers more detail about what they’re paying for.,Ofrezca a los clientes más detalles sobre lo que están pagando.,امنح العملاء مزيدًا من التفاصيل حول ما يدفعون مقابله.,Donnez aux clients plus de détails sur ce qu’ils paient.,ग्राहकों को इस बारे में अधिक विवरण दें कि वे किसके लिए भुगतान कर रहे हैं।
set Limit,Set Limit,Establecer límite,تعيين الحد,Définir la limite,सीमा निर्धारित करें
enter Your Product Name,- Enter your product name,- Introduzca el nombre de su producto,- أدخل اسم المنتج الخاص بك,- Entrez le nom de votre produit,- अपने उत्पाद का नाम दर्ज करें
payment Link Created Successfully,Payment Link Created Successfully,Enlace de pago creado con éxito,تم إنشاء رابط الدفع بنجاح,Lien de paiement créé avec succès,भुगतान लिंक सफलतापूर्वक बनाया गया
no Payment Created Yet,No payment created yet,Aún no se ha creado ningún pago,لم يتم إنشاء أي دفعة حتى الآن,Aucun paiement créé pour l'instant,अभी तक कोई भुगतान नहीं हुआ
kyc Unverified Text,"Your Kyc is Unverified, Please verify your KYC","Su Kyc no está verificado, verifique su KYC",لم يتم التحقق من Kyc الخاص بك، يرجى التحقق من KYC الخاص بك,"Votre Kyc n'est pas vérifié, veuillez vérifier votre KYC","आपका केवाईसी असत्यापित है, कृपया अपना केवाईसी सत्यापित करें"
kyc Pending Text,Your KYC verification is pending,Su verificación KYC está pendiente,التحقق من KYC الخاص بك معلق,Votre vérification KYC est en attente,आपका केवाईसी सत्यापन लंबित है
kyc Rejected Text,Your KYC verification is Rejected,Su verificación KYC es rechazada,تم رفض التحقق من KYC الخاص بك,Votre vérification KYC est rejetée,आपका केवाईसी सत्यापन अस्वीकृत कर दिया गया है
link Copied Successfully,Link Copied Successfully,Enlace copiado correctamente,تم نسخ الرابط بنجاح,Lien copié avec succès,लिंक सफलतापूर्वक कॉपी किया गया
link Edited Successfully,Link Edited Successfully,Enlace editado con éxito,تم تعديل الرابط بنجاح,Lien modifié avec succès,लिंक सफलतापूर्वक संपादित
from Gallery,From Gallery,De la galería,من المعرض,De la galerie,गैलरी से
from Camera,From Camera,Desde la cámara,من الكاميرا,Depuis la caméra,कैमरे से
copy,Copy,Copiar,ينسخ,Copie,प्रतिलिपि
reject,Reject,Rechazar,يرفض,Rejeter,अस्वीकार करना
approve,Approve,Aprobar,يعتمد,Approuver,मंज़ूरी देना
request Type,Request Type,Tipo de solicitud,نوع الطلب,Type de demande,अनुरोध प्रकार
request Money Success,Request Money Request Send Successful,Solicitar dinero Solicitud enviada exitosamente,تم إرسال طلب الأموال بنجاح,Demande d'argent Demande d'envoi réussie,धन अनुरोध अनुरोध भेजें सफल
pay Link,Pay Link,Enlace de pago,رابط الدفع,Lien de paiement,भुगतान लिंक
Minimum amount,Minimum Amount,Cantidad Mínima,الحد الأدنى للمبلغ,Montant minimum,न्यूनतम राशि
Maximum amount,Maximum Amount,Monto Máximo,الحد الأقصى للمبلغ,Montant maximum,अधिकतम राशि
explain Trx,Explain Transaction Purposes Here…,Explique los propósitos de la transacción aquí...,اشرح أغراض المعاملة هنا...,Expliquez les objectifs de la transaction ici…,यहां लेन-देन के उद्देश्य स्पष्ट करें...
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Lien de réinitialisation du mot de passe envoyé à votre adresse e-mail.,पासवर्ड रीसेट लिंक आपके ईमेल पते पर भेज दिया गया है।
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Por favor inténtalo de nuevo.,حدث خطأ ما! يرجى المحاولة مرة أخرى.,Quelque chose s'est mal passé ! Veuillez réessayer.,कुछ गलत हो गया! कृपया पुन: प्रयास करें।
Verification code sended to your email address.,Verification code sended to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.,Code de vérification envoyé à votre adresse e-mail.,सत्यापन कोड आपके ईमेल पते पर भेजा गया।
Password Reset Token Expired,Password Reset Token Expired,El token de restablecimiento de contraseña expiró,انتهت صلاحية رمز إعادة تعيين كلمة المرور,Jeton de réinitialisation du mot de passe expiré,पासवर्ड रीसेट टोकन समाप्त हो गया
Verification code already used,Verification code already used,Código de verificación ya utilizado,رمز التحقق مستخدم بالفعل,Code de vérification déjà utilisé,सत्यापन कोड पहले ही उपयोग किया जा चुका है
Session expired. Please try again.,Session expired. Please try again.,La sesión expiró. Por favor inténtalo de nuevo.,انتهت صلاحية الجلسة. يرجى المحاولة مرة أخرى.,Session expirée. Veuillez réessayer.,सत्र समाप्त हुआ। कृपया पुन: प्रयास करें।
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,التحقق من Otp غير صالح,La vérification Otp est invalide,सत्यापन ओटीपी अमान्य है
You can resend the verification code after,You can resend the verification code after,Puedes reenviar el código de verificación después,يمكنك إعادة إرسال رمز التحقق بعد ذلك,Vous pouvez renvoyer le code de vérification après,इसके बाद आप सत्यापन कोड दोबारा भेज सकते हैं
seconds,Seconds,Artículos de segunda clase,ثواني,Secondes,सेकंड
Verification code resend success,Verification code resend success,Reenvío exitoso del código de verificación,تمت إعادة إرسال رمز التحقق بنجاح,Code de vérification renvoyé avec succès,सत्यापन कोड पुनः भेजने में सफलता
Password reset success. Please login with new password.,Password reset success. Please login with new password.,Restablecimiento de contraseña exitoso. Por favor inicie sesión con una nueva contraseña.,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة.,Réinitialisation réussie du mot de passe. Veuillez vous connecter avec un nouveau mot de passe.,पासवर्ड रीसेट सफल. कृपया नए पासवर्ड से लॉगिन करें.
"User already  exists, please try with another email","User already  exists, please try with another email","El usuario ya existe, intente con otro correo electrónico.",المستخدم موجود بالفعل، يرجى المحاولة باستخدام بريد إلكتروني آخر,"L'utilisateur existe déjà, veuillez essayer avec une autre adresse e-mail","उपयोगकर्ता पहले से मौजूद है, कृपया किसी अन्य ईमेल से प्रयास करें"
The verification code does not match,The verification code does not match,El código de verificación no coincide,رمز التحقق غير متطابق,Le code de vérification ne correspond pas,सत्यापन कोड मेल नहीं खाता
Otp successfully verified,Otp successfully verified,OTP verificado exitosamente,تم التحقق من Otp بنجاح,OTP vérifié avec succès,ओटीपी सफलतापूर्वक सत्यापित
User Registration KYC,User Registration KYC,Registro de usuario KYC,تسجيل المستخدم KYC,Enregistrement des utilisateurs KYC,उपयोगकर्ता पंजीकरण केवाईसी
Phone number is already exists,Phone number is already exists,El número de teléfono ya existe,رقم الهاتف موجود بالفعل,Le numéro de téléphone existe déjà,फ़ोन नंबर पहले से मौजूद है
User Registration,User Registration,Registro de usuario,تسجيل المستخدم,Inscription des utilisateurs,उपयोगकर्ता पंजीकरण
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié,पासवर्ड भूल गए
Verify User,Verify User,Verificar usuario,التحقق من المستخدم,Vérifier l'utilisateur,उपयोगकर्ता सत्यापित करें
Reset Password Page,Reset Password Page,Página para restablecer la contraseña,إعادة تعيين صفحة كلمة المرور,Page Réinitialiser le mot de passe,पासवर्ड पेज रीसेट करें
User Login,User Login,Inicio de sesión de usuario,تسجيل دخول المستخدم,Connexion utilisateur,उपयोगकर्ता लॉगिन
Please submit kyc information!,Please submit kyc information!,¡Por favor envíe información de kyc!,يرجى تقديم معلومات kyc!,Veuillez soumettre les informations kyc !,कृपया केवाईसी जानकारी जमा करें!
Please wait before admin approves your kyc information,Please wait before admin approves your kyc information,Espere antes de que el administrador apruebe su información de kyc.,يرجى الانتظار قبل أن يوافق المسؤول على معلومات kyc الخاصة بك,Veuillez patienter avant que l'administrateur n'approuve vos informations kyc,कृपया व्यवस्थापक द्वारा आपकी केवाईसी जानकारी को मंजूरी देने से पहले प्रतीक्षा करें
"Admin rejected your kyc information, Please re-submit again","Admin rejected your kyc information, Please re-submit again",El administrador rechazó su información de kyc. Vuelva a enviarla.,رفض المشرف معلومات kyc الخاصة بك، يرجى إعادة الإرسال مرة أخرى,L'administrateur a rejeté vos informations kyc. Veuillez les soumettre à nouveau.,"एडमिन ने आपकी केवाईसी जानकारी अस्वीकार कर दी, कृपया दोबारा सबमिट करें"
Transaction Failed. The record didn't save properly. Please try again,Transaction Failed. The record didn't save properly. Please try again,La transacción falló. El registro no se guardó correctamente. Por favor inténtalo de nuevo,فشلت الصفقة. لم يتم حفظ السجل بشكل صحيح. يرجى المحاولة مرة أخرى,Échec de la transaction. L'enregistrement n'a pas été sauvegardé correctement. Veuillez réessayer,लेन - देन विफल। रिकॉर्ड ठीक से सहेजा नहीं गया. कृपया पुन: प्रयास करें
Transaction request sended successfully!,Transaction request sended successfully!,¡Solicitud de transacción enviada exitosamente!,تم إرسال طلب المعاملة بنجاح!,Demande de transaction envoyée avec succès !,लेन-देन अनुरोध सफलतापूर्वक भेजा गया!
Successfully Added Money,Successfully Added Money,Dinero agregado exitosamente,تمت إضافة الأموال بنجاح,Argent ajouté avec succès,सफलतापूर्वक पैसा जोड़ा गया
Manual Payment,Manual Payment,Pago Manual,الدفع اليدوي,Paiement manuel,मैन्युअल भुगतान
Add money cancelled,Add money cancelled,Añadir dinero cancelado,تم إلغاء إضافة الأموال,Ajouter de l'argent annulé,पैसा जोड़ना रद्द
Added Money Failed,Added Money Failed,Error al agregar dinero,فشلت إضافة الأموال,L'argent ajouté a échoué,पैसा जोड़ा नहीं जा सका
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق,Le hachage de la transaction est requis pour la vérification,सत्यापन के लिए लेनदेन हैश आवश्यक है
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡El hash de transacción no es válido! Por favor ingresa un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة,Le hachage de la transaction n'est pas valide ! Veuillez saisir un hachage valide,लेन-देन हैश मान्य नहीं है! कृपया एक वैध हैश इनपुट करें
Insufficient amount added. Please contact with system administrator,,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Your Wallet,Your Wallet,Tu billetera,محفظتك,Votre portefeuille,आपका बटुआ
balance  has been added,balance  has been added,se ha agregado saldo,تمت إضافة الرصيد,le solde a été ajouté,शेष जोड़ा गया है
By,By,Por,بواسطة,Par,द्वारा
Gateway Information is not available. Please provide payment gateway currency alias,Gateway Information is not available. Please provide payment gateway currency alias,La información de la puerta de enlace no está disponible. Proporcione el alias de moneda de la pasarela de pago,معلومات البوابة غير متوفرة. يرجى تقديم الاسم المستعار لعملة بوابة الدفع,Les informations sur la passerelle ne sont pas disponibles. Veuillez fournir l'alias de la devise de la passerelle de paiement,गेटवे सूचना उपलब्ध नहीं है. कृपया भुगतान गेटवे मुद्रा उपनाम प्रदान करें
Gateway not available,Gateway not available,Puerta de enlace no disponible,البوابة غير متوفرة,Passerelle non disponible,गेटवे उपलब्ध नहीं है
User wallet not found,User wallet not found!,¡No se encontró la billetera del usuario!,لم يتم العثور على محفظة المستخدم!,Portefeuille utilisateur introuvable !,उपयोगकर्ता वॉलेट नहीं मिला!
Please follow the transaction limit,Please follow the transaction limit,Siga el límite de transacciones,يرجى اتباع حد المعاملة,Veuillez respecter la limite de transaction,कृपया लेनदेन सीमा का पालन करें
